Image_File,Modality,Bits_Stored,Shape,Original_Size_Bytes,Metadata_Size_Bytes,Parameter_Beta,Parameter_Codec,Stego_Capacity_Bits,Stego_Image_PSNR_dB,Stego_Image_SSIM,Final_Bin_Size_Bytes,CR,Bpp,Encoding_Time_s,Decoding_Time_s,Reversibility_Check
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.4,j2k,5335552,89.34395066814088,0.9999993651573609,7099439,2.1905578736573412,7.305392628996675,3.105872392654419,2.4344239234924316,True
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.4,jls,5335552,89.34395066814088,0.9999993651573609,6941317,2.240458402922673,7.142683534196055,1.1114118099212646,1.5797069072723389,True
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.4,png,5335552,89.34395066814088,0.9999993651573609,9130243,1.7033207111793192,9.3951099394119,2.047788619995117,1.6747007369995117,True
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.8,jxl,5335552,71.37634882266812,0.999986264947504,5853249,2.6569401028386115,6.023050849550528,3.846216917037964,2.560161828994751,True
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.8,j2k,5335552,71.37634882266812,0.999986264947504,7100384,2.1902663292576854,7.306365043300734,3.921764850616455,1.630575180053711,True
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.8,jls,5335552,71.37634882266812,0.999986264947504,6941890,2.240273470193276,7.143273156837565,1.3169796466827393,1.6229567527770996,True
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.8,png,5335552,71.37634882266812,0.999986264947504,9130180,1.7033324644201977,9.39504511179163,2.149127960205078,1.7892475128173828,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.4,jxl,4485584,89.49088737720906,0.9999994879889685,5378045,2.8917073025606888,5.534061254898087,3.9910407066345215,2.877317428588867,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.4,j2k,4485584,89.49088737720906,0.9999994879889685,6438989,2.415244380756047,6.625783076492476,2.5660643577575684,1.6817476749420166,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.4,jls,4485584,89.49088737720906,0.9999994879889685,6347145,2.4501932758744287,6.531274696236293,1.0153162479400635,1.4788267612457275,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.4,png,4485584,89.49088737720906,0.9999994879889685,9384063,1.657249317273339,9.656293218413515,1.7213616371154785,1.479975938796997,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.8,jxl,4485584,71.67719254925431,0.9999870208925676,5380209,2.890544214918045,5.536288032203892,4.424318075180054,3.159897565841675,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.8,j2k,4485584,71.67719254925431,0.9999870208925676,6440252,2.4147707263628813,6.627082715927426,2.7356338500976562,1.6073546409606934,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.8,jls,4485584,71.67719254925431,0.9999870208925676,6347822,2.449931960915098,6.5319713359017415,0.9940953254699707,1.3848083019256592,True
999.dcm,dx_16b,12,3056x2544,15551732,3012,0.8,png,4485584,71.67719254925431,0.9999870208925676,9384072,1.6572477278520454,9.656302479502124,1.7044544219970703,1.159095048904419,True
000.dcm,dx_8b,8,1024x1024,1049342,872,0.4,jxl,353600,68.06099360369869,0.9999491080155114,287819,3.645839920227643,2.1958847045898438,1.2934811115264893,0.9556524753570557,True
000.dcm,dx_8b,8,1024x1024,1049342,872,0.4,j2k,353600,68.06099360369869,0.9999491080155114,321753,3.261327788707487,2.4547805786132812,0.578963041305542,0.10525035858154297,True
