Image_File,Modality,Bits_Stored,Original_Size_Bytes,Metadata_Size_Bytes,Message_Size_Bits,Beta,Codec,Percentile,PSNR_dB,SSIM,MSE,Restored_MSE,Final_Bin_Size_Bytes,Bpp,CR,Encoding_Speed_ms_MB,Decoding_Speed_ms_MB,Total_Encoding_Time_s,Decoding_Time_s,Reversibility_Check,Reversibility_Message
001.dcm,DX,15,13266148,9737,77896,0.8,JPEG 2000,90,50.801301090345035,0.996936496386906,8.315146227098998e-06,0.0,8575730,10.34594747842767,1.5469409601281756,76.00233692553407,24.583002541506396,0.9615499973297119,0.31101393699645996,True,True
001.dcm,DX,15,13266148,9737,77896,0.8,JPEG-LS,90,50.801301090345035,0.996936496386906,8.315146227098998e-06,0.0,8388053,10.119529857431106,1.5815527155109774,76.86598249921529,21.260768385819304,0.9724764823913574,0.2689824104309082,True,True
004.dcm,DX,12,13266232,9763,78104,0.2,JPEG XL,90,69.9490696707752,0.9999282095894848,1.0117961741989188e-07,0.0,6202204,7.482474009150709,2.1389544748931186,51.7393333691134,13.00139331198188,0.6545886993408203,0.1644892692565918,True,True
004.dcm,DX,12,13266232,9763,78104,0.2,JPEG 2000,90,69.9490696707752,0.9999282095894848,1.0117961741989188e-07,0.0,6277221,7.572976152057402,2.113392534690112,50.93198279662228,20.761622441097064,0.6443743705749512,0.26266908645629883,True,True
004.dcm,DX,12,13266232,9763,78104,0.2,JPEG-LS,90,69.9490696707752,0.9999282095894848,1.0117961741989188e-07,0.0,6180086,7.455790372150959,2.1466096102869767,55.17697112488309,19.999329877541715,0.6980805397033691,0.2530248165130615,True,True
004.dcm,DX,12,13266232,9763,78104,0.8,JPEG XL,90,48.52470906532996,0.9952928502356506,1.4045237697314512e-05,0.0,6218191,7.5017610741979555,2.133455212295666,64.27431692736867,14.114652148402048,0.8131771087646484,0.1785738468170166,True,True
004.dcm,DX,12,13266232,9763,78104,0.8,JPEG 2000,90,48.52470906532996,0.9952928502356506,1.4045237697314512e-05,0.0,6289950,7.58833269493514,2.109115652747637,65.77470528180119,21.601725342960986,0.8321595191955566,0.2732977867126465,True,True
004.dcm,DX,12,13266232,9763,78104,0.8,JPEG-LS,90,48.52470906532996,0.9952928502356506,1.4045237697314512e-05,0.0,6188515,7.465959301361146,2.143685843857533,64.41433407767933,20.448025483045978,0.814948558807373,0.2587015628814697,True,True
008.dcm,DX,15,13266120,9704,77632,0.2,JPEG XL,90,72.7512413650487,0.9999535907507782,5.307327206321975e-08,0.0,8080995,9.749088397540106,1.6416443767135112,62.0708805588974,12.840924852179839,0.7852933406829834,0.16245770454406738,True,True
008.dcm,DX,15,13266120,9704,77632,0.2,JPEG 2000,90,72.7512413650487,0.9999535907507782,5.307327206321975e-08,0.0,8302252,10.016017662014905,1.597894161728649,72.7155151619313,21.54071800948582,0.9199645519256592,0.2725236415863037,True,True
008.dcm,DX,15,13266120,9704,77632,0.2,JPEG-LS,90,72.7512413650487,0.9999535907507782,5.307327206321975e-08,0.0,8113826,9.78869643110276,1.6350017858406134,68.03854480435878,20.90481240935556,0.8607935905456543,0.2644784450531006,True,True
008.dcm,DX,15,13266120,9704,77632,0.8,JPEG XL,90,50.639088746517054,0.9965080266486525,8.631596402624617e-06,0.0,8100760,9.7729333240841,1.6376389375811653,76.84920308274009,13.246035766297908,0.9722621440887451,0.16758298873901367,True,True
008.dcm,DX,15,13266120,9704,77632,0.8,JPEG 2000,90,50.639088746517054,0.9965080266486525,8.631596402624617e-06,0.0,8319937,10.037353231249943,1.594497650643268,76.2847954036297,23.683337705372786,0.9651215076446533,0.29963111877441406,True,True
008.dcm,DX,15,13266120,9704,77632,0.8,JPEG-LS,90,50.639088746517054,0.9965080266486525,8.631596402624617e-06,0.0,8134335,9.81343893545342,1.6308794757039142,75.56480342406068,21.220654569685784,0.956012487411499,0.2684743404388428,True,True
